accountAgeDays,numItems,localTime,paymentMethodAgeDays,label,paymentMethod_paypal,paymentMethod_storecredit
29,1,4.745402,28.2048611111,0,True,False
725,1,4.742303,0.0,0,False,True
845,1,4.921318,0.0,0,False,False
503,1,4.886641,0.0,0,False,False
2000,1,5.040929,0.0,0,False,False
119,1,4.962055,0.0,0,True,False
2000,1,4.921349,0.0,0,True,False
371,1,4.876771,0.0,0,False,False
2000,1,4.748314,0.0,0,False,False
4,1,4.461622,0.0,0,False,False
26,1,4.745402,0.0,0,True,False
2000,1,4.505662,0.000694444444444,0,False,False
3,1,4.962055,2.69097222222,0,False,False
3,1,4.921318,2.06944444444,0,False,False
23,1,4.745402,0.00138888888889,0,False,False
5,1,4.921349,4.03611111111,0,True,False
1208,1,4.836982,0.000694444444444,0,False,False
11,1,4.921349,10.8659722222,0,False,False
123,1,4.748314,0.000694444444444,0,False,False
2000,1,4.895263,248.774305556,0,False,False
1672,1,5.034622,978.752777778,0,False,False
36,1,4.742303,0.0145833333333,0,False,False
16,1,4.886641,15.7965277778,0,False,False
278,1,5.034622,6.89236111111,0,False,False
223,1,4.748314,0.0,0,False,False
30,1,4.057414,0.0,0,False,False
2,1,4.921349,0.0,0,False,False
2000,1,3.483951,503.425,0,False,False
1936,1,4.057414,635.641666667,0,False,False
2000,1,4.921318,948.806944444,0,False,False
2,1,4.505662,1.20347222222,0,False,False
2000,1,4.836982,0.00138888888889,0,False,False
998,1,4.921318,0.0,0,False,False
914,1,4.461622,0.00555555555556,0,False,False
23,1,2.596228,0.000694444444444,0,False,False
2000,1,5.017904,0.0,0,False,False
2,1,4.836982,1.69722222222,0,False,False
19,1,4.505662,0.0,0,True,False
18,1,4.965339,0.0,0,False,False
1562,1,4.505662,981.346527778,0,False,False
288,1,4.748314,0.0,0,True,False
310,1,4.965339,96.9423611111,0,False,False
2,1,4.921318,0.0,0,False,False
2000,1,4.965339,0.0,0,False,True
2,1,5.034622,1.09791666667,0,False,False
2000,1,4.52458,0.00486111111111,0,True,False
1144,1,4.876771,1142.90625,0,False,False
1743,1,4.836982,367.813888889,0,False,False
817,1,4.962055,0.00347222222222,0,False,False
